iter	RMSE
349	2267.717949
350	2265.332359
351	2262.944047
352	2259.382416
353	2255.770614
354	2252.94804
355	2249.041505
356	2246.915506
357	2244.359533
358	2244.104906
359	2243.179212
360	2241.861441
361	2240.86865
362	2239.232168
363	2236.293168
364	2233.860517
365	2230.046351
366	2226.994588
367	2226.806791
368	2225.761426
369	2219.231784
370	2215.560406
371	2211.607627
372	2210.290488
373	2210.110621
374	2205.800454
375	2202.193636
376	2200.787387
377	2197.884562
378	2196.208189
379	2194.280358
380	2189.355864
381	2187.40281
382	2185.56066
383	2182.699232
384	2181.603842
385	2179.126217
386	2175.570942
387	2172.566864
388	2170.25125
389	2168.420474
390	2163.660383
391	2161.141297
392	2155.079423
393	2149.912033
394	2144.147464
395	2142.68513
396	2141.938817
397	2140.561204
398	2136.367562
399	2133.018494
400	2128.575295
401	2126.31189
402	2125.360856
403	2124.275223
404	2117.426699
405	2115.324864
406	2113.532161
407	2111.223106
408	2108.68952
409	2104.914637
410	2103.266444
411	2099.300309
412	2096.348364
413	2091.021202
414	2086.821998
415	2081.617276
416	2076.556815
417	2074.769504
418	2073.110803
419	2071.610715
420	2068.206673
421	2063.57231
422	2060.892472
423	2057.745687
424	2054.815296
425	2051.004096
426	2049.016727
427	2046.746511
428	2043.13905
429	2040.801906
430	2038.03993
431	2036.326648
432	2034.696709
433	2031.008216
434	2027.368606
435	2023.48809
436	2018.110792
437	2016.339367
438	2012.818761
439	2011.889848
440	2009.017753
441	2008.077353
442	2004.659091
443	2000.528113
444	1999.855837
445	1997.503756
446	1992.842164
447	1991.994182
448	1987.645525
449	1984.464576
450	1982.485687
451	1976.23443
452	1970.401897
453	1969.057091
454	1968.292922
455	1966.991901
456	1964.576409
457	1959.845934
458	1956.539196
459	1952.713654
460	1951.118879
461	1948.38999
462	1943.042667
463	1942.489731
464	1939.253366
465	1934.385069
466	1934.329941
467	1932.993293
468	1929.610811
469	1929.207154
470	1927.56647
471	1925.238442
472	1921.745967
473	1920.655829
474	1918.310865
475	1915.570931
476	1911.031065
477	1907.739
478	1904.959247
479	1901.336551
480	1898.659454
481	1896.769254
482	1892.518382
483	1889.212144
484	1887.825929
485	1887.600537
486	1882.898794
487	1878.351811
488	1877.30708
489	1873.827162
490	1871.281469
491	1869.313719
492	1866.071555
493	1863.429242
494	1861.123998
495	1860.351457
496	1858.395279
497	1857.858862
498	1853.70143
499	1851.276357
